id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
85050|1A|Williams Harbour|NDB|373|52.55889892578125|-55.78219985961914|70|CA|-23.072|LO|MEDIUM|CCA6
85051|1B|Sable Island|NDB|277|43.930599212646484|-60.02289962768555||CA|-19.1|LO|MEDIUM|
85052|1CD|Nanaimo|DME|111450|49.05720138549805|-123.87200164794922|83|CA|18.282|LO|LOW|CYCD
85053|1D|Charlottetown|NDB|346|52.775001525878906|-56.124000549316406|209|CA|-23.163|LO|LOW|CCH4
85054|1E|Black Tickle|NDB|349|53.46670150756836|-55.78739929199219||CA|-23.398|LO|LOW|CCE4
85055|1F|Manta|NDB|363|47.63059997558594|-65.74469757080078|193|CA|-19.367|LO|MEDIUM|CZBF
85056|1K|Zama Lake|NDB|227|59.02330017089844|-118.84300231933594||CA|21.275|LO|MEDIUM|CFT9
85057|1S|North Of Sixty|NDB|350|60.31890106201172|-103.12899780273438||CA|9.589|LO|LOW|CKV4
85058|1T|Lloydminster|DME|110700|53.31330108642578|-110.08000183105469|2210|CA|14.486|BOTH|LOW|CYLL
85059|1U|Masset|NDB|278|54.031700134277344|-132.1269989013672|25|CA|21.073|LO|MEDIUM|CZMT
85060|1W|Sandy Bay|NDB|412|55.54330062866211|-102.2760009765625|1000|CA|8.555|LO|MEDIUM|CJY4
85061|2A|South Indian Lake|NDB|300|56.79389953613281|-98.904296875|974|CA|5.097|LO|LOW|CZSN
85062|2B|Springdale|NDB|364|49.4900016784668|-56.18470001220703|250|CA|-21.312|LO|MEDIUM|CCD2
85063|2F|Bathurst|DME|114400|47.63140106201172|-65.74440002441406|191|CA|-19.367|BOTH|LOW|CZBF
85064|2H|Lebel-sur-Quevillon|NDB|261|49.0372009277|-77.0207977295||CA|-14.363|BOTH|LOW|CSH4
85065|2J|Grand Forks|NDB-DME|250|49.01750183105469|-118.42400360107422|1720|CA|17.114|LO|LOW|CZGF
85066|2K|Camrose|NDB|405|53.03219985961914|-112.81300354003906|2426|CA|16.163|LO|MEDIUM|CEQ3
85067|2K|Camrose|DME|108200|53.032798767089844|-112.81400299072266|2449|CA|16.163|LO|LOW|CEQ3
85068|2M|Opapimiskan Lake|NDB|393|52.60309982299805|-90.37439727783203|934|CA|-3.318|LO|MEDIUM|CKM8
85069|2Q|Mont-Laurier|NDB|373|46.602500915527344|-75.47059631347656||CA|-14.31|LO|LOW|CSD4
85070|2S|High Prairie|NDB-DME|406|55.395599365234375|-116.48400115966797|2005|CA|18.511|BOTH|LOW|CZHP
85071|2T|Pokemouche|NDB|329|47.71500015258789|-64.88580322265625|68|CA|-19.527|LO|MEDIUM|CDA4
85072|2U|Mackenzie Bc|NDB-DME|284|55.3036003112793|-123.13700103759766|2303|CA|20.519|LO|LOW|CYZY
85073|2Z|Diavik|NDB|382|64.51000213623047|-110.30699920654297||CA|18.473|LO|LOW|CDK2
85074|2Z|Diavik|DME|111250|64.50830078125|-110.30699920654297|1413|CA|18.471|LO|LOW|CDK2
85075|3B|Brockville|NDB|391|44.70140075683594|-75.69999694824219||CA|-13.335|LO|LOW|CNL3
85076|3D|Cumberland House|NDB|398|53.95719909667969|-102.2969970703125|877|CA|8.534|LO|MEDIUM|CJT4
85077|3F|Ile-A-La-Crosse|NDB|384|55.4838981628418|-107.93099975585938|1394|CA|13.529|LO|MEDIUM|CJF3
