Manufacturer|Model|EngineType|pwrEachEngine|maxSpeed|cruiseSpeed|StallSpeedDirty|fuelWeight|serviceCeiling|rateOfClimb|takeoffOver50ft|takeoffGroundRun|landingOver50ft|landingGroundRoll|grossWeight|emptyWeight|length|height|wingSpan|rangeNM
Aeronca|15 AC Sedan|Piston|145|104|91|46|36|13000|450|900||1300||2050|1180|25/3|10/3|37/5|370
Aeronca|11 CC Super Chief|Piston|85|89|83|44|15|12300|600|720||800||1350|820|20/7|8/9|36/1|190
Aeronca|7 CCM Champ|Piston|90|90|78|37|19|16000|650|475||850||1300|810|21/5|8/7|35/0|210
Aeronca|7 DC Champ|Piston|85|88|78|37|19|13000|620|500||850||1300|800|21/5|8/7|35/0|210
Aeronca|7 AC Champ|Piston|65|83|74|33|14|12500|370|632||885||1220|740|21/5|8/9|35/0|175
Aeronca|11 AC Chief|Piston|65|78|72|33|15|11000|360|583||880||1250|786|20/4|8/9|36/1|180
Aerostar Aircraft Corporation|PA-60-700P Aerostar (preliminary)|Piston|350|264|230|80|165|25000|1820|3080|1950|2100|1425|6315|4275|34/10|12/1|36/8|868
Aerostar Aircraft Corporation|PA-602P Aerostar|Piston|290|262|247|77|165|28000|1755|2250|1800|2076|1217|6000|4125|34/9|12/1|36/7|1020
Aerostar Aircraft Corporation|PA-601P pressurized Aerostar ('77 service ceiling=26,350)|Piston|290|257|235|77|165|25000|1460|2490|1900|2030|1230|6000|4056|34/10|12/1|36/8|1101
Aerostar Aircraft Corporation|PA-601B turbochg Aerostar (prior'80=less perf)|Piston|290|257|237|77|165|30000|1460|2490|1900|2030|1230|6000|3958|34/10|12/1|36/8|1174
Aerostar Aircraft Corporation|PA-601, 601A, turbochg Aerostar|Piston|290|271|236|69|174|30100|1700|2200|1800|1625|980|5700|3750|34/10|12/1|34/2|1174
Aerostar Aircraft Corporation|PA-600,600A,-Aerostar|Piston|290|220|212|74|165|21200|1800|1950|1550|1840|1040|5500|3737|34/10|12/1|34/2|1200
Ag Cat Corp|G164B Turbine (spec for 680 hp)|Propjet|680||113||80|||900||||5200|3150|33/1|12/1|42/5|
Ag Cat Corp|G164C-600 AG-CAT (design category) sprayer|Piston|600|104|91|60|80|||2080|1080|1190|588|6300|3650|30/0|11/5|42/3|235
Ag Cat Corp|G164B-600 AG-CAT (design category) sprayer|Piston|600||100|52|64||1360|1050|430|1150|565|5200|3650|25/6|11/6|42/5|200
Ag Cat Corp|G164A-600 AG-CAT (design category)|Piston|600|128|96|59|46|14500|1600|860|505|770|410|4500|3160|24/4|10/10|35/11|148
Ag Cat Corp|G164B-525 (design-sprayer) prior'78=25/11 length|Piston|525|128|91|52|46||1350||1000|540|1150|567|4500|3,150|26/1|42/3|155
Ag Cat Corp|G164B-450 (hopper=325 gal)|Piston|450||100||64||||1300|||5200|3325|24/2|11/6|42/5|190
Ag Cat Corp|G164B-450 AG CAT (design category) sprayer|Piston|450|128|91|52|46|14500|1060|1090|585|1150|567|4500|3100|25/7|11/0|42/3|190
Ag Cat Corp|G164A-450 AG CAT (design category)|Piston|450|128|91|58|46|14000|990|1145|630|750|390|4500|2870|24/4|11/0|35/11|190
Ag Cat Corp|G164A-300 AG CAT|Piston|300|128|74|54|46|11500|700|1200|750|1000|590|3750|2410|24/4|10/9|35/8|226
Ag Cat Corp|G164A-275 AG CAT|Piston|275|114|74|54|33|10250|600|1275|800|1000|590|3750|2400|24/4|10/9|35/8|117
Ag Cat Corp|G164A-245 AG CAT|Piston|245|114|70|54|33|8500|496|1300|825|1000|590|3750|2300|24/4|10/9|35/8|174
Ag Cat Corp|G164A-220 AG CAT|Piston|220|114|70|48|33|7000|435|1360|850|1000|590|3600|2200|24/4|10/9|35/8|190
Aircoupe-Alon|A-2|Piston|90|112|108|37|24|17300|640|1100|540|1200|350|1450|930|20/2|5/1|30/0|410
Aircoupe-Alon|F-1|Piston|90|113|104|50|24|16000|600|1800|1260|1600|600|1400|900|20/1|6/3|30/0|400
Aircoupe-Alon|415-G|Piston|85|99|96|50|24|13500|550|2100|1260|1850|750|1400|833|20/1|6/3|30/0|360
Aircraft Manufacturing & Design LLC|CH-601-XL/i/650-LS/i|Piston|100|120|113|38|30|12000|1000|||||1320|770|20/0|6/6|27/0|715
Air Tractor, Inc.|AT-503A|Propjet|750|144|126|60|170||760||1170|||9200|4488|||50/0|547
Air Tractor, Inc.|AT-502|Propjet|680|144|126|60|170||760||1170|||9200|4123|||50/0|547
Air Tractor, Inc.|AT-402|Propjet|680|122|105|46|170||1000||810|||7860|3739|||49/0|574
Air Tractor, Inc.|AT-401|Piston|600|136|105|53|126||520||1318|||7860|4135|||49/1|547
Air Tractor, Inc.|AT-400|Propjet|680|200|185|55|126||1500||1000|||7800|3550|||45/1|
Air Tractor, Inc.|AT-302A|Piston|600|190|182|55|126||2500||1300|||7300|3350|||45/1|
Air Tractor, Inc.|AT-302|Piston|600|190|182|55|76||2500||1000|||7000|3250|||45/1|
Air Tractor, Inc.|AT-301A|Piston|600|164|152|56|76||1500||1300|||7300|3850|||45/1|
Air Tractor, Inc.|AT-301|Piston|600|168|155|56|76||1600||1300|||7000|3800|||45/1|
American Champion Aircraft Corporation|8KCAB-180 Super Decathlon (w/optional speed kit)|Piston|180|158|150|52|40|17200|1230|||||1800|1315|22/11|7/7|32/0|
