id|airportReference|airportIdentifier|lenth|width|surfaceType|lighted|closed
269408|6523|00A|80|80|ASPH-G|1|0
255155|6524|00AK|2500|70|GRVL|0|0
254165|6525|00AL|2300|200|TURF|0|0
270932|6526|00AR|40|40|GRASS|0|0
322128|322127|00AS|1450|60|Turf|0|0
257681|6527|00AZ|1700|60|GRAVEL|0|0
245528|6528|00CA|6000|80|ASPH|0|0
250597|6529|00CO|3900|20|TURF-G|0|0
247972|6531|00FA|3200|100|TURF|0|0
265037|6532|00FD|74|74|TURF|0|0
250414|6533|00FL|4090|100|TURF|0|0
253429|6534|00GA|2600|80|TURF|0|0
265038|6535|00GE|125|95|ASPH|1|0
265039|6536|00HI|1155|45|ASPH-G|0|0
246648|6537|00ID|3300|40|TURF|0|0
246649|6537|00ID|2700|40|TURF|0|0
252182|6539|00IL|2500|75|TURF-F|0|0
265040|6540|00IN|40|40|MATS|1|0
254597|6541|00IS|1600|70|TURF|0|0
256603|6542|00KS|2600|85|TURF|0|0
251984|6543|00KY|2100|100|TURF|0|0
264322|45437|00LA|40|40|TURF|0|0
265041|6544|00LL|25|25|CONC|0|0
255958|6545|00LS|2600|100|TURF|0|0
255848|6546|00MD|1700|75|TURF|0|0
265042|6547|00MI|100|100|TURF|0|0
255865|6548|00MN|2949|200|TURF-G|1|0
254820|6549|00MO|2400|25|TURF|0|0
257131|6550|00MT|2000|75|TURF|0|0
249208|6551|00N|1900|150|TURF-G|1|0
249382|6552|00NC|2650|36|ASPH-G|0|0
269409|6553|00NJ|50|50|ASPH|0|0
248635|6554|00NY|2350|80|TURF|1|0
255568|6555|00OH|2695|90|TURF-G|0|0
269410|6556|00OI|42|42|CONC|0|0
269411|6558|00PA|80|80|TURF-G|0|0
264557|45773|00PN|500|75|TURF|0|0
251695|6559|00PS|3100|100|TURF-G|0|0
250124|6560|00S|2600|90|TURF-P|0|0
250457|6561|00SC|2900|100|TURF|0|0
269412|6562|00TA|85|85|CONC-G|0|0
269413|6563|00TE|48|48|TURF|0|0
251439|6564|00TN|1800|150|TURF|0|0
248688|6565|00TS|1200|45|TURF|0|0
269414|6566|00TX|50|50|CONC|0|0
251342|6568|00VA|1300|100|TURF|0|0
247311|6569|00VI|1500|50|TURF|0|0
254777|6570|00W|3400|50|GRAVEL-F|0|0
247637|6571|00WA|1105|70|TURF-G|0|0
240309|6572|00WI|1000|60|TURF|0|0
250630|6573|00WN|1440|50|TURF-G|0|0
251212|6574|00WV|1800|100|TURF|0|0
253285|6575|00XS|1475|75|TURF-F|0|0
252236|6576|01A|1175|40|GRAVEL-F|0|0
265043|6577|01AK|40|40|CONC|1|0
252134|6578|01AL|2500|160|TURF|1|0
265044|6579|01AR|55|55|CONC|1|0
265045|6580|01AZ|210|150|TURF|0|0
256815|6581|01C|2517|120|TURF-G|1|0
265046|6582|01CA|20|20|ASPH|0|0
246361|6583|01CL|3100|50|ASPH-TRTD|1|0
265047|6584|01CN|60|60|ASPH|0|0
265048|6585|01CO|125|40|ASPH|0|0
265049|6586|01CT|70|70|TURF-GRVL|0|0
256042|6587|01FA|2000|100|TURF|0|0
256043|6587|01FA|1500|100|TURF|0|0
265050|6588|01FD|110|110|CONC|0|0
254779|6589|01FL|3000|50|TURF|1|0
265051|6590|01GA|65|65|CONC|0|0
251847|6591|01GE|2560|75|TURF|0|0
253118|6592|01IA|2575|50|TURF-F|1|0
258036|6530|01ID|2894|100|TURF-F|0|0
265052|6594|01IL|416|216|TURF|0|0
265053|6595|01IN|45|45|ASPH|0|0
