Manufacturer,Model,Engine_Type,HP_or_lbs_thr_ea_engine,Max_speed_Knots,Rcmnd_cruise_Knots,Stall_Knots_dirty,Fuel_gal_lbs,All_eng_service_ceiling,All_eng_rate_of_climb,Takeoff_over_50ft,Takeoff_ground_run,Landing_over_50ft,Landing_ground_roll,Gross_weight_lbs,Empty_weight_lbs,Length_ft_in,Height_ft_in,Wing_span_ft_in,Range_NM,
Aeronca,15 AC Sedan,Piston,145,104,91,46,36,"13,000",450,900,,"1,300",,"2,050","1,180",25/3,10/3,37/5,370,
Aeronca,11 CC Super Chief,Piston,85,89,83,44,15,"12,300",600,720,,800,,"1,350",820,20/7,8/9,36/1,190,
Aeronca,7 CCM Champ,Piston,90,90,78,37,19,"16,000",650,475,,850,,"1,300",810,21/5,8/7,35/0,210,
Aeronca,7 DC Champ,Piston,85,88,78,37,19,"13,000",620,500,,850,,"1,300",800,21/5,8/7,35/0,210,
Aeronca,7 AC Champ,Piston,65,83,74,33,14,"12,500",370,632,,885,,"1,220",740,21/5,8/9,35/0,175,
Aeronca,11 AC Chief,Piston,65,78,72,33,15,"11,000",360,583,,880,,"1,250",786,20/4,8/9,36/1,180,
Aerostar Aircraft Corporation,PA-60-700P Aerostar (preliminary),Piston,350,264,230,80,165,"25,000","1,820","3,080","1,950","2,100","1,425","6,315","4,275",34/10,12/1,36/8,868,
Aerostar Aircraft Corporation,PA-602P Aerostar,Piston,290,262,247,77,165,"28,000","1,755","2,250","1,800","2,076","1,217","6,000","4,125",34/9,12/1,36/7,"1,020",
Aerostar Aircraft Corporation,"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,290,257,235,77,165,"25,000","1,460","2,490","1,900","2,030","1,230","6,000","4,056",34/10,12/1,36/8,"1,101",
Aerostar Aircraft Corporation,PA-601B turbochg Aerostar (prior'80=less perf),Piston,290,257,237,77,165,"30,000","1,460","2,490","1,900","2,030","1,230","6,000","3,958",34/10,12/1,36/8,"1,174",
Aerostar Aircraft Corporation,"PA-601, 601A, turbochg Aerostar",Piston,290,271,236,69,174,"30,100","1,700","2,200","1,800","1,625",980,"5,700","3,750",34/10,12/1,34/2,"1,174",
Aerostar Aircraft Corporation,"PA-600,600A,-Aerostar",Piston,290,220,212,74,165,"21,200","1,800","1,950","1,550","1,840","1,040","5,500","3,737",34/10,12/1,34/2,"1,200",
Ag Cat Corp,G164B Turbine (spec for 680 hp),Propjet,680,,113,,80,,,900,,,,"5,200","3,150",33/1,12/1,42/5,,
Ag Cat Corp,G164C-600 AG-CAT (design category) sprayer,Piston,600,104,91,60,80,,,"2,080","1,080","1,190",588,"6,300","3,650",30/0,11/5,42/3,235,
Ag Cat Corp,G164B-600 AG-CAT (design category) sprayer,Piston,600,,100,52,64,,"1,360","1,050",430,"1,150",565,"5,200","3,650",25/6,11/6,42/5,200,
Ag Cat Corp,G164A-600 AG-CAT (design category),Piston,600,128,96,59,46,"14,500","1,600",860,505,770,410,"4,500","3,160",24/4,10/10,35/11,148,
Ag Cat Corp,G164B-525 (design-sprayer) prior'78=25/11 length,Piston,525,128,91,52,46,,"1,350",,"1,000",540,"1,150",567,"4,500","3,150",26/1,42/3,155,
Ag Cat Corp,G164B-450 (hopper=325 gal),Piston,450,,100,,64,,,,"1,300",,,"5,200","3,325",24/2,11/6,42/5,190,
Ag Cat Corp,G164B-450 AG CAT (design category) sprayer,Piston,450,128,91,52,46,"14,500","1,060","1,090",585,"1,150",567,"4,500","3,100",25/7,11/0,42/3,190,
Ag Cat Corp,G164A-450 AG CAT (design category),Piston,450,128,91,58,46,"14,000",990,"1,145",630,750,390,"4,500","2,870",24/4,11/0,35/11,190,
Ag Cat Corp,G164A-300 AG CAT,Piston,300,128,74,54,46,"11,500",700,"1,200",750,"1,000",590,"3,750","2,410",24/4,10/9,35/8,226,
Ag Cat Corp,G164A-275 AG CAT,Piston,275,114,74,54,33,"10,250",600,"1,275",800,"1,000",590,"3,750","2,400",24/4,10/9,35/8,117,
Ag Cat Corp,G164A-245 AG CAT,Piston,245,114,70,54,33,"8,500",496,"1,300",825,"1,000",590,"3,750","2,300",24/4,10/9,35/8,174,
Ag Cat Corp,G164A-220 AG CAT,Piston,220,114,70,48,33,"7,000",435,"1,360",850,"1,000",590,"3,600","2,200",24/4,10/9,35/8,190,
Aircoupe-Alon,A-2,Piston,90,112,108,37,24,"17,300",640,"1,100",540,"1,200",350,"1,450",930,20/2,5/1,30/0,410,
Aircoupe-Alon,F-1,Piston,90,113,104,50,24,"16,000",600,"1,800","1,260","1,600",600,"1,400",900,20/1,6/3,30/0,400,
Aircoupe-Alon,415-G,Piston,85,99,96,50,24,"13,500",550,"2,100","1,260","1,850",750,"1,400",833,20/1,6/3,30/0,360,
Aircraft Manufacturing & Design LLC,CH-601-XL/i/650-LS/i,Piston,100,120,113,38,30,"12,000","1,000",,,,,"1,320",770,20/0,6/6,27/0,715,
"Air Tractor, Inc.",AT-503A,Propjet,750,144,126,60,170,,760,,"1,170",,,"9,200","4,488",,,50/0,547,
"Air Tractor, Inc.",AT-502,Propjet,680,144,126,60,170,,760,,"1,170",,,"9,200","4,123",,,50/0,547,
"Air Tractor, Inc.",AT-402,Propjet,680,122,105,46,170,,"1,000",,810,,,"7,860","3,739",,,49/0,574,
"Air Tractor, Inc.",AT-401,Piston,600,136,105,53,126,,520,,"1,318",,,"7,860","4,135",,,49/1,547,
