License Number,Entity Name,Telephone Number,SHL Endorsed,Wheelchair Accessible Vehicles,Building,Street,City,State,Postcode,Type of Base,Date,Time,Latitude,Longitude,Batch Date,Location
B02822,MILKY WAY LIMO CORP,7183802398,Yes,1,75-19,PARSONS BOULEVARD,FRESH MEADOWS,NY,11366,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.72595,-73.810672,10/20/2017 06:00:30 PM,"(40.72595, -73.810672)"
B01364,NY ATLIXCO CAR SERVICE INC,7184245800,Yes,,102-20,35 AVENUE,CORONA,NY,11368,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.75458,-73.86581,10/20/2017 06:00:30 PM,"(40.75458, -73.86581)"
B02505,TRELAWNY CAR SERVICE INC,7188811200,Yes,1,690,EAST  233 STREET,BRONX,NY,10466,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.893346,-73.8578,10/20/2017 06:00:30 PM,"(40.893346, -73.8578)"
B01065,EL BARRIO'S CAR SERVICE LLC,2127225555,Yes,1,218,EAST 116 STREET,NEW YORK,NY,10029,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.797415,-73.93931,10/20/2017 06:00:30 PM,"(40.797415, -73.93931)"
B02653,NEW COLLEGE CAR SVCE INC,7187313333,Yes,,1588,DR M L KING JR BOULEVARD,BRONX,NY,10453,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.846778,-73.920631,10/20/2017 06:00:30 PM,"(40.846778, -73.920631)"
B00290,ZPI CORPORATION,7185076363,Yes,,112-47,ROOSEVELT AVENUE,CORONA,NY,11368,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.752235,-73.85365,10/20/2017 06:00:30 PM,"(40.752235, -73.85365)"
B00485,EARLY BIRD CAR SERVICE INC,7188451545,Yes,2,126-06,111 AVENUE,SOUTH OZONE,NY,11420,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.682109,-73.81474,10/20/2017 06:00:30 PM,"(40.682109, -73.81474)"
B00811,LLAMA LIMO C/S CORP,7185386000,Yes,,49,WEST  170 STREET,BRONX,NY,10452,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.840787,-73.920353,10/20/2017 06:00:30 PM,"(40.840787, -73.920353)"
B01726,SUPER CLASS RADIO DISP INC,7183672222,Yes,1,1831,GRAND CONCOURSE,BRONX,NY,10453,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.847759,-73.907886,10/20/2017 06:00:30 PM,"(40.847759, -73.907886)"
B01381,CLASSIC CAR SERVICE CORP.,7187281200,Yes,,38-12,ASTORIA BOULEVARD,ASTORIA,NY,11103,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.768741,-73.911531,10/20/2017 06:00:30 PM,"(40.768741, -73.911531)"
