LICENSEE NUMBER,NAME OF LICENSEE,STREET ADDRESS,CITY,STATE,POSTCODE,TELEPHONE NUMBER,LICENSE TYPE,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
A0002,ANN SERVICE CORP,142 WEST   21 STREET,NY,NY,10011,(212) 929-3676,Medallion Leasing Agent,MANHATTAN,40.742151,-73.99502,4,3,87,1014759,1007960063,Hudson Yards-Chelsea-Flatiron-Union Square                                 
A0003,CAB MANAGEMENT CORP,27-34 JACKSON AVENUE,LIC,NY,11101,(718) 937-8668,Medallion Leasing Agent,QUEENS   ,40.747946,-73.940039,2,26,19,4003493,4002660022,Hunters Point-Sunnyside-West Maspeth                                       
A0011,J & I MAINTENANCE CORP,341 BERGEN STREET,BROOKLYN,NY,11217,(718) 858-3502,Medallion Leasing Agent,BROOKLYN ,40.682758,-73.980271,2,33,39,3329452,3001980048,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
A0013,TEAM SYSTEMS CORP,30-17   40 AVENUE LIC,LIC,NY,11101,(718) 786-0643,Medallion Leasing Agent,QUEENS   ,40.751873,-73.934499,1,26,31,4004855,4004000005,Queensbridge-Ravenswood-Long Island City                                   
A0014,MIDTOWN OPERATING CORP,42-50   24 STREET,LIC,NY,11101,(718) 937-2080,Medallion Leasing Agent,QUEENS   ,40.749657,-73.942618,2,26,19,4005077,4004280001,Hunters Point-Sunnyside-West Maspeth                                       
A0015,55 STAN OPERATING CORP,45-16 VERNON BOULEVARD,LIC,NY,11101,(718) 786-5811,Medallion Leasing Agent,QUEENS   ,40.747995,-73.952339,2,26,1,4000026,4000250001,Hunters Point-Sunnyside-West Maspeth                                       
A0017,521 WEST 21ST ST MANAGEMENT CORP,415 WEST  127 STREET,NEW YORK,NY,10027,(212) 665-4900,Medallion Leasing Agent,MANHATTAN,40.812914,-73.95364,9,7,21303,1059572,1019670066,Manhattanville                                                             
A0102,SUSAN MAINTENANCE CORP,374    4 AVENUE,BKLYN,NY,11215,(718) 222-4040,Medallion Leasing Agent,BROOKLYN ,40.672941,-73.986579,6,39,119,3021051,3009800077,Park Slope-Gowanus                                                         
A0105,UTICA TAXI CENTER INC,465 UTICA AVENUE,BKLYN,NY,11203,(718) 774-9767,Medallion Leasing Agent,BROOKLYN ,40.662194,-73.931484,17,41,880,3327539,3045910012,Prospect Lefferts Gardens-Wingate                                          
A0110,WINNERS GARAGE INC,34-14   64 STREET,WOODSIDE,NY,11377,(718) 458-7000,Medallion Leasing Agent,QUEENS   ,40.751738,-73.898926,2,26,293,4027182,4011900013,Woodside                                                                   
